submission_id,QUD,RT,age,comments,endTime,experiment_id,fileID,gender,is_expert,min_chars,option1,option2,optionLeft,optionRight,picture,question,response,snellen_result,startDate,startTime,timeSpent,trial_name,trial_number
439,,1388,98,hier bin ich ein experte,1562674093708,71,NA,divers,Yes,0,NA,NA,NA,NA,images/snellen/snellen.png,Which row is the last one where you can recognize <strong>all letters</strong> completely? Only type in the number of this row (between 1 and 11): ,7,11,Tue Jul 09 2019 14:07:02 GMT+0200 (Mitteleuropäische Sommerzeit),1562674022061,1.1941166666666667,test_snellen,1
439,,2718,98,hier bin ich ein experte,1562674093708,71,NA,divers,Yes,NA,Yes,No,NA,NA,NA,Do you consider yourself an <strong>expert in Cubist art</strong> or were ever engaged in any kind of Cubist art education?,6,11,Tue Jul 09 2019 14:07:02 GMT+0200 (Mitteleuropäische Sommerzeit),1562674022061,1.1941166666666667,b0_expert,1
439,,1754,98,hier bin ich ein experte,1562674093708,71,33,divers,Yes,NA,NA,NA,not at all,very much,images/stimuli/33.jpg,How much do you like this painting?,6,11,Tue Jul 09 2019 14:07:02 GMT+0200 (Mitteleuropäische Sommerzeit),1562674022061,1.1941166666666667,b1_exp,1
439,,1583,98,hier bin ich ein experte,1562674093708,71,29,divers,Yes,NA,NA,NA,not at all,very much,images/stimuli/29.jpg,How much do you like this painting?,1,11,Tue Jul 09 2019 14:07:02 GMT+0200 (Mitteleuropäische Sommerzeit),1562674022061,1.1941166666666667,b1_exp,2
439,,1364,98,hier bin ich ein experte,1562674093708,71,48,divers,Yes,NA,NA,NA,not at all,very much,images/stimuli/48.jpg,How much do you like this painting?,5,11,Tue Jul 09 2019 14:07:02 GMT+0200 (Mitteleuropäische Sommerzeit),1562674022061,1.1941166666666667,b1_exp,3
439,,1822,98,hier bin ich ein experte,1562674093708,71,4,divers,Yes,NA,NA,NA,not at all,very much,images/stimuli/4.jpg,How much do you like this painting?,1,11,Tue Jul 09 2019 14:07:02 GMT+0200 (Mitteleuropäische Sommerzeit),1562674022061,1.1941166666666667,b1_exp,4
439,,2743,98,hier bin ich ein experte,1562674093708,71,54,divers,Yes,NA,NA,NA,not at all,very much,images/stimuli/54.jpg,How much do you like this painting?,4,11,Tue Jul 09 2019 14:07:02 GMT+0200 (Mitteleuropäische Sommerzeit),1562674022061,1.1941166666666667,b1_exp,5
439,,1197,98,hier bin ich ein experte,1562674093708,71,27,divers,Yes,NA,NA,NA,not at all,very much,images/stimuli/27.jpg,How much do you like this painting?,2,11,Tue Jul 09 2019 14:07:02 GMT+0200 (Mitteleuropäische Sommerzeit),1562674022061,1.1941166666666667,b1_exp,6
439,,684,98,hier bin ich ein experte,1562674093708,71,50,divers,Yes,NA,NA,NA,not at all,very much,images/stimuli/50.jpg,How much do you like this painting?,1,11,Tue Jul 09 2019 14:07:02 GMT+0200 (Mitteleuropäische Sommerzeit),1562674022061,1.1941166666666667,b1_exp,7
439,,2073,98,hier bin ich ein experte,1562674093708,71,57,divers,Yes,NA,NA,NA,not at all,very much,images/stimuli/57.jpg,How much do you like this painting?,5,11,Tue Jul 09 2019 14:07:02 GMT+0200 (Mitteleuropäische Sommerzeit),1562674022061,1.1941166666666667,b1_exp,8
