submission_id,QUD,RT,age,comments,endTime,experiment_id,fileID,gender,is_expert,min_chars,option1,option2,optionLeft,optionRight,picture,question,response,snellen_result,startDate,startTime,timeSpent,trial_name,trial_number
566,,57807,20,,1562946371589,71,NA,female,No,0,NA,NA,NA,NA,images/snellen/snellen.png,Which row is the last one where you can recognize <strong>all letters</strong>? Only type in the number of this row (between 1 and 11): ,9,9,Fri Jul 12 2019 17:34:17 GMT+0200 (Mitteleuropäische Sommerzeit),1562945657112,11.90795,test_snellen,1
566,,13595,20,,1562946371589,71,NA,female,No,NA,Yes,No,NA,NA,NA,Do you consider yourself an <strong>expert in cubist art</strong> or were ever engaged in any kind of cubist art education?,No,9,Fri Jul 12 2019 17:34:17 GMT+0200 (Mitteleuropäische Sommerzeit),1562945657112,11.90795,b0_expert,1
566,,14410,20,,1562946371589,71,26,female,No,NA,NA,NA,not at all,very much,images/stimuli/26.jpg,How much do you like this painting?,6,9,Fri Jul 12 2019 17:34:17 GMT+0200 (Mitteleuropäische Sommerzeit),1562945657112,11.90795,b1_exp,1
566,,4927,20,,1562946371589,71,3,female,No,NA,NA,NA,not at all,very much,images/stimuli/3.jpg,How much do you like this painting?,5,9,Fri Jul 12 2019 17:34:17 GMT+0200 (Mitteleuropäische Sommerzeit),1562945657112,11.90795,b1_exp,2
566,,4493,20,,1562946371589,71,11,female,No,NA,NA,NA,not at all,very much,images/stimuli/11.jpg,How much do you like this painting?,3,9,Fri Jul 12 2019 17:34:17 GMT+0200 (Mitteleuropäische Sommerzeit),1562945657112,11.90795,b1_exp,3
566,,2380,20,,1562946371589,71,4,female,No,NA,NA,NA,not at all,very much,images/stimuli/4.jpg,How much do you like this painting?,3,9,Fri Jul 12 2019 17:34:17 GMT+0200 (Mitteleuropäische Sommerzeit),1562945657112,11.90795,b1_exp,4
566,,2907,20,,1562946371589,71,22,female,No,NA,NA,NA,not at all,very much,images/stimuli/22.jpg,How much do you like this painting?,1,9,Fri Jul 12 2019 17:34:17 GMT+0200 (Mitteleuropäische Sommerzeit),1562945657112,11.90795,b1_exp,5
566,,6602,20,,1562946371589,71,33,female,No,NA,NA,NA,not at all,very much,images/stimuli/33.jpg,How much do you like this painting?,5,9,Fri Jul 12 2019 17:34:17 GMT+0200 (Mitteleuropäische Sommerzeit),1562945657112,11.90795,b1_exp,6
566,,1927,20,,1562946371589,71,17,female,No,NA,NA,NA,not at all,very much,images/stimuli/17.jpg,How much do you like this painting?,4,9,Fri Jul 12 2019 17:34:17 GMT+0200 (Mitteleuropäische Sommerzeit),1562945657112,11.90795,b1_exp,7
566,,1744,20,,1562946371589,71,60,female,No,NA,NA,NA,not at all,very much,images/stimuli/60.jpg,How much do you like this painting?,4,9,Fri Jul 12 2019 17:34:17 GMT+0200 (Mitteleuropäische Sommerzeit),1562945657112,11.90795,b1_exp,8
